AccountID,CustomerID,AccountType,BranchID,Balance,OpenedDate
1,906,Current,4,367140.32,2021-05-24
2,4042,Recurring Deposit,7,963208.85,2019-09-20
3,324,Recurring Deposit,50,626038.08,2012-12-28
4,2932,Savings,65,521066.53,2005-11-26
5,675,Fixed Deposit,60,970904.03,2015-09-10
6,757,Savings,59,141651.1,2008-04-11
7,2078,Savings,97,710478.94,2023-10-17
8,3227,Savings,65,532879.07,2025-06-28
9,1621,Savings,65,421076.53,2021-01-14
10,4050,Fixed Deposit,95,358248.02,2023-09-12
11,2141,Savings,55,814344.98,2010-02-12
12,2616,Savings,30,857064.02,2015-11-21
13,971,Fixed Deposit,55,799500.04,2018-09-05
14,3144,Savings,63,728241.94,2020-08-17
15,4843,Fixed Deposit,14,507299.48,2018-05-19
16,846,Current,42,98978.76,2003-09-03
17,2713,Current,42,425221.42,2008-11-24
18,3765,Fixed Deposit,29,127148.47,2003-03-13
19,2247,Current,26,508780.74,2024-04-09
20,953,Savings,79,53119.23,2013-12-26
21,128,Current,71,994490.02,2013-09-09
22,3084,Fixed Deposit,68,756083.33,2014-08-21
23,1969,Savings,52,532383.86,2004-03-20
24,861,Fixed Deposit,42,949970.08,2011-04-15
25,489,Savings,4,948511.72,2010-08-15
26,1167,Current,94,860074.05,2006-08-13
27,869,Savings,7,32843.83,2009-06-30
28,3921,Fixed Deposit,24,38084.13,2012-08-25
29,2290,Savings,73,839956.62,2006-03-14
30,4840,Savings,8,43726.31,2010-07-08
31,4507,Recurring Deposit,70,677463.59,2021-12-04
32,370,Current,8,426448.11,2004-09-17
33,1366,Recurring Deposit,32,95190.54,2005-12-08
34,3791,Fixed Deposit,1,524649.54,2013-11-09
35,2206,Current,33,225228.68,2018-05-16
36,4692,Recurring Deposit,98,931404.92,2025-02-13
37,2706,Current,28,615720.54,2014-06-23
38,2692,Current,95,492767.36,2017-12-11
39,2738,Recurring Deposit,33,493306.61,2014-09-29
40,2862,Savings,41,402810.71,2001-04-03
41,3330,Savings,88,261428.27,2024-10-08
42,1396,Fixed Deposit,89,153163.98,2004-11-12
43,1214,Savings,39,922638.36,2000-07-04
44,966,Savings,60,798759.65,2009-04-03
45,4921,Current,17,137605.02,2004-07-09
46,4327,Recurring Deposit,24,953774.2,2024-10-16
47,4655,Fixed Deposit,56,986390.85,2023-04-09
48,2167,Recurring Deposit,32,67089.49,2000-07-12
49,2997,Current,69,807955.36,2014-12-13
50,3438,Current,32,525586.27,2006-02-20
51,4967,Recurring Deposit,99,177172.19,2008-04-29
52,1005,Recurring Deposit,77,119839.44,2017-11-20
53,3240,Savings,51,230061.42,2002-10-30
54,1770,Current,85,310258.67,2009-11-09
55,2757,Current,4,914740.52,2022-01-30
56,4660,Recurring Deposit,91,832568.16,2006-01-06
57,292,Fixed Deposit,29,154844.96,2025-02-26
58,3953,Recurring Deposit,84,966623.2,2010-09-25
59,675,Recurring Deposit,59,524596.16,2010-07-31
60,2408,Fixed Deposit,5,926507.11,2005-07-11
61,349,Recurring Deposit,59,526774.67,2023-09-06
62,1368,Fixed Deposit,60,976772.98,2012-02-12
63,4756,Recurring Deposit,24,894578.13,2018-06-26
64,4964,Current,17,380556.55,2018-04-19
65,2396,Savings,68,960921.18,2015-01-08
66,2822,Recurring Deposit,92,870053.44,2018-02-06
67,4908,Recurring Deposit,24,562449.9,2019-07-24
68,3238,Fixed Deposit,2,111631.05,2006-09-19
69,1118,Recurring Deposit,33,620746.05,2002-09-19
70,1263,Recurring Deposit,63,370866.0,2014-06-02
71,1938,Fixed Deposit,93,740190.76,2010-06-16
72,10,Savings,99,780231.21,2018-12-12
73,729,Current,96,192345.49,2016-07-14
74,1314,Recurring Deposit,33,259711.66,2020-09-20
75,128,Fixed Deposit,63,836824.24,2012-09-19
76,1558,Fixed Deposit,12,648390.47,2009-07-27
77,1246,Savings,35,411123.89,2024-11-05
78,2221,Recurring Deposit,95,722082.45,2008-10-07
79,2428,Recurring Deposit,47,766158.47,2008-09-28
80,4259,Current,13,704255.16,2011-05-11
81,2650,Current,30,450531.97,2002-10-28
82,979,Recurring Deposit,58,341440.07,2015-12-07
83,3071,Savings,96,797942.23,2000-10-12
84,70,Savings,53,275541.68,2006-09-06
85,1896,Fixed Deposit,38,561336.59,2003-08-05
86,999,Current,95,176627.64,2024-03-02
87,1349,Fixed Deposit,24,645714.78,2017-05-27
88,1967,Recurring Deposit,46,828244.51,2014-08-21
89,1213,Savings,65,201574.66,2015-10-16
90,1594,Recurring Deposit,25,148558.56,2001-08-25
91,2942,Savings,26,233824.62,2023-06-17
92,302,Savings,86,541371.63,2010-08-17
93,1516,Fixed Deposit,27,18503.69,2011-01-23
94,4253,Current,44,813743.47,2009-10-27
95,1696,Fixed Deposit,11,990537.42,2007-10-12
96,2092,Fixed Deposit,48,527084.1,2003-08-15
97,2446,Savings,11,77359.2,2016-02-23
98,4193,Current,86,324715.47,2011-03-31
99,2151,Savings,89,975891.72,2002-05-23
100,3579,Fixed Deposit,16,277220.39,2014-04-21
101,605,Current,33,82735.76,2013-05-17
102,61,Savings,83,408003.52,2025-11-30
103,4918,Current,34,67216.77,2017-04-04
104,2499,Recurring Deposit,28,337414.76,2025-10-25
105,2858,Recurring Deposit,40,356805.18,2017-06-08
106,2576,Fixed Deposit,55,160389.94,2006-04-13
107,367,Savings,5,461552.94,2008-04-01
108,3790,Current,56,837986.01,2024-11-06
109,4253,Recurring Deposit,72,191131.19,2006-08-18
110,2382,Current,58,790448.24,2009-08-12
111,1458,Fixed Deposit,47,471790.3,2009-11-25
112,1199,Fixed Deposit,14,244985.93,2015-05-11
113,4411,Recurring Deposit,29,992029.76,2011-07-25
114,4969,Recurring Deposit,22,900907.38,2005-06-30
115,3102,Savings,94,116990.14,2023-06-01
116,1632,Fixed Deposit,71,648985.23,2025-06-02
117,3982,Fixed Deposit,31,689111.77,2009-08-14
118,4087,Fixed Deposit,40,884184.46,2001-08-26
119,524,Savings,66,908564.46,2006-01-11
120,2996,Fixed Deposit,96,860019.34,2022-08-29
121,2424,Current,61,288185.38,2008-04-19
122,2920,Current,80,40431.83,2008-11-16
123,1822,Savings,68,918318.6,2019-10-15
124,941,Fixed Deposit,83,476975.23,2024-09-06
125,2904,Fixed Deposit,24,499636.44,2000-08-27
126,1353,Current,6,202798.46,2022-05-19
127,2309,Current,14,926579.29,2003-05-19
128,903,Savings,18,576872.51,2016-08-13
129,1474,Fixed Deposit,23,953001.57,2019-09-11
130,235,Current,11,700704.71,2014-09-12
