LoanID,CustomerID,AccountID,LoanAmount,InterestRate,LoanStartDate,LoanEndDate
1,1466,3795,237503.3,9.67,2002-07-20,2040-09-18
2,285,2017,768280.02,10.83,2023-06-02,2030-08-14
3,3259,4133,217678.91,10.41,2002-01-16,2044-02-08
4,3608,4939,493733.0,8.7,2023-04-22,2049-03-29
5,4259,2819,852225.03,9.92,2024-03-01,2044-12-18
6,473,1851,971500.06,12.69,2011-05-18,2034-12-08
7,1437,4544,777508.2,7.34,2001-08-05,2038-05-29
8,35,3455,425685.59,12.19,2003-06-21,2027-11-24
9,3510,2235,267711.54,7.73,2025-06-20,2030-04-26
10,1711,526,346312.91,10.4,2004-12-03,2047-10-26
11,382,496,773773.89,6.82,2012-07-23,2033-01-06
12,2316,4001,998076.37,10.54,2017-11-28,2049-06-12
13,4540,2000,270771.36,13.4,2010-07-14,2027-05-16
14,2275,4319,839428.92,8.7,2011-12-06,2036-03-28
15,1664,3755,192253.13,11.91,2000-05-28,2034-01-10
16,4946,1965,333455.33,14.34,2025-09-14,2029-07-27
17,4841,4525,325861.67,11.75,2012-04-26,2028-06-30
18,424,4177,454349.43,12.22,2010-03-17,2049-05-05
19,2007,3154,954181.02,8.01,2010-01-10,2028-08-11
20,1412,2518,826027.68,11.19,2016-12-26,2031-09-25
21,1311,3092,821034.64,11.91,2013-10-26,2046-08-20
22,2225,2880,974718.39,12.53,2000-02-22,2033-02-24
23,1466,4848,77018.92,7.38,2002-08-18,2034-07-16
24,1809,461,263605.28,8.68,2004-05-30,2048-01-11
25,737,3181,902770.48,7.83,2019-06-30,2041-11-23
26,3017,3584,687118.06,12.5,2015-12-26,2031-01-20
27,647,2416,852510.14,13.96,2024-03-09,2050-05-02
28,3119,2020,147199.27,10.24,2018-09-04,2028-05-01
29,4620,3522,530270.78,9.36,2006-12-27,2045-09-17
30,478,3176,210852.9,5.28,2012-08-12,2035-02-27
31,1237,4352,653539.78,12.34,2019-06-02,2039-12-19
32,3971,2356,404954.22,10.54,2019-03-06,2047-01-29
33,2929,4867,813617.24,13.5,2022-05-13,2034-08-23
34,941,1363,466672.17,5.45,2006-11-02,2036-01-14
35,1624,1598,95578.21,13.22,2023-02-04,2039-11-18
36,3468,4834,117692.23,12.33,2013-03-12,2034-07-18
37,1886,1948,760817.61,11.75,2001-10-03,2026-11-18
