TransactionID,AccountID,TransactionDate,Amount,TransactionType,Description
1,1040,2022-07-04,315749.65,Credit,Corrupti molestiae illo cupiditate temporibus magni debitis consequatur.
2,2745,2014-03-21,63267.56,Credit,Dolore odio eligendi commodi iure quae.
3,600,2002-10-13,150631.76,Debit,Reprehenderit quaerat blanditiis pariatur vitae nam eligendi.
4,2185,2022-03-14,124877.35,Debit,Numquam laborum sint earum eos doloribus nihil.
5,1904,2009-06-14,398662.98,Credit,Soluta laboriosam sit accusantium error.
6,1773,2022-08-26,98769.34,Credit,Rem optio quaerat sequi quam eveniet.
7,3771,2002-10-29,156657.05,Debit,Maiores eaque animi aliquam.
8,3928,2012-03-24,112813.51,Debit,Maiores provident expedita aliquam.
9,3229,2004-06-28,37885.87,Debit,Repellat eligendi explicabo amet cumque facilis necessitatibus.
10,3770,2005-07-01,402773.76,Credit,Quos quod unde debitis nam possimus dignissimos qui.
11,2972,2002-03-24,196795.25,Credit,Aliquam corporis hic reiciendis ratione iure repellat.
12,2339,2011-05-06,422961.04,Debit,Autem atque placeat eius.
13,4224,2005-05-28,240998.58,Debit,Eveniet harum molestiae placeat ratione ratione a.
14,4119,2014-10-26,91397.75,Credit,Quos id debitis.
15,4082,2010-03-11,14232.01,Credit,Quo veritatis in quos quisquam modi.
16,2271,2001-01-25,214374.29,Credit,Iusto voluptas ipsum adipisci occaecati impedit ipsam.
17,1092,2017-09-03,35686.1,Debit,Velit praesentium nihil voluptatibus iure.
18,1211,2004-03-20,412744.8,Debit,Iste placeat et.
19,1178,2021-06-29,40320.03,Credit,Commodi minima quas molestiae.
20,3015,2019-03-28,465808.47,Debit,Harum dolores eius quo ea.
21,3789,2019-08-04,437671.83,Debit,Ipsa tempore provident ipsam saepe quisquam.
22,4064,2020-01-23,247194.04,Debit,Fuga sunt vero nisi commodi voluptate.
23,3418,2025-11-26,63444.97,Debit,Distinctio harum aut facilis veritatis id.
24,4390,2024-12-05,472778.23,Debit,Iste veritatis maxime.
25,2911,2004-06-30,111369.7,Credit,Iure occaecati fugiat distinctio repellat magni.
26,626,2002-04-26,71439.12,Debit,Atque voluptatum minima aspernatur totam quia.
